CODIGO_ACCIDENTE;FORMULARIO;FECHA;GRAVEDAD;CLASE;CHOQUE;LONGITUD;LATITUD;CODIGO_LOCALIDAD;TOTAL_MUERTOS;TOTAL_HERIDOS;TEXTO_OBSERVACIONES;CODIGO_CAUSA;DESCRIPCION
191;2191;2/09/2024 23:23;HERIDOS;CHOQUE;VEHICULO;-74,12386505;4,652517514;9;;3;CORRIJO ACLARO ACOMPAÑANTE VH1 CRISTIAN FELIPE MELENDEZ LONGARAY CC 1025525029 VEHICULOS MANIFESTADOS POR CONDUCTORES FUERON MOVIDOS DE SU POSICION FINAL DONDE SE OBSERVA CONDUCTOR VH2 MANIFIESTA IMPACTAR POR LA PARTE POSTERIOR A LA OTRA MOTOCICLETA;121;NO MANTENER DISTANCIA DE SEGURIDAD
192;2192;2/09/2024 23:20;HERIDOS;CHOQUE;VEHICULO;-74,10422002;4,583120533;15;;3;CORRIJO LOCALIDAD CASILLA 31 ANTONIO NARIÑO SEGUN VERSIONES DE LOS CONDUCTORES HABIA OTRA MOTOCICLETA INVOLUCRADA EN EL ACCIDENTE PERO NO APORTAN PLACAS;157;OTRA HIPÓTESIS (CONDUCTOR)
193;2193;2/09/2024 22:50;HERIDOS;ATROPELLO;;-74,05370114;4,669167071;2;;1;SE SOLICITA LOS DOCUMENTOS DE LA MOTOCICLETA Y DEL CONDUCTOR LOS PRESENTA Y AL NOTIFICARLES ORDEN DE COMPARENDO E INMOVILIZACION DE LA MISMA EMPRENDE LA HUIDA OCASIONADOLE LESIONES A LA VICTIMA SE ANEXA ORDENES DE COMPARENDO 42344438 42344452 42344455 Y 42344460 INFORMACION TOMADA DE LOS DOCUMENTOS;157;OTRA HIPÓTESIS (CONDUCTOR)
194;2194;2/09/2024 21:10;DANOS;CHOQUE;VEHICULO;-74,17249984;4,596488727;7;;;SE DEJA CONSTANCIA DE LAS SIGUIENTES ORDENES DE COMPARENDO AL CONDUCTOR DEL AUTOMOVIL COMPARENDO N 42344367 INFRACCION F GRADO 2 COMPARENDO N 42344390 INFRACCION D01 Y COMPARENDO N 42344470 INFRACCION C35;121;NO MANTENER DISTANCIA DE SEGURIDAD
195;2195;2/09/2024 19:58;HERIDOS;ATROPELLO;;-74,16886325;4,571983705;19;;2;SE CORRIJE CASILLA 7 7 2 UTILIZACION VIA DE DOBLE SENTIDO ;127;TRANSITAR EN CONTRAVIA
196;2196;2/09/2024 19:42;HERIDOS;CHOQUE;VEHICULO;-74,16134623;4,642686123;8;;1;SE DEJA CONSTANCIA QUE SE LE NOTIFICA DE LA ORDEN DE COMPARENDO POR LA INFRACCION D02 N COMPARENDO 42343459 AL CONDUCTOR DEL VEHICULO N 1;95;TRANSITAR UNO AL LADO DEL OTRO
197;2197;2/09/2024 18:55;HERIDOS;CHOQUE;VEHICULO;-74,05884294;4,703619812;11;;2;HIPOTESIS 123 ART 70;123;NO RESPETAR PRELACION DE INTERSECCIONES O GIROS
198;2198;2/09/2024 18:35;HERIDOS;ATROPELLO;;-74,08427053;4,55445082;4;;2;SE DEJA CONSTANCIA QUE AL LLEGAR AL LUGAR DE LOS HECHOS EL CONDUCTOR V1 Y PEATON DEBIDO A SUS LESIONES YA HABIAN SIDO TRASLADADOS A LA CLINICA SANTA JULIANA NO HABIAN FAMILIARES Y SE DESCONOCE EL PARADERO DE LA MOTOCICLETA V1 HIPOTESIS DEL PEATON 411 NO HACER USO DEL PASO PEATONAL;157;OTRA HIPÓTESIS (CONDUCTOR)
199;2199;2/09/2024 18:30;HERIDOS;CHOQUE;VEHICULO;-74,14162152;4,588020715;6;;1;89 LUGAR DE IMPACTO POSTERIOR DE LA MOTOCICLETA MARCA DEL VEHICULO N 1 AKT;103;ADELANTAR CERRANDO
200;2200;2/09/2024 17:30;DANOS;CHOQUE;VEHICULO;-74,05528901;4,749302885;11;;;SE DEJA CONSTANCIA QUE UNA VEZ FINALIZADO EL INFORME EL CONDUCTOR DEL VEHICULO N 1 LE DA LA SUMA DE 1400000 A LA CONDUCTORA DEL VEHICULO N 2;103;ADELANTAR CERRANDO
201;2201;2/09/2024 15:24;HERIDOS;OTRO;;-74,11972908;4,635151082;16;;1;CONDUCTOR QUE SE BAJA DE SU VEHICULO Y ESTE RUEDA Y LO APRISIONA CONTRA OTRO VEHICULO QUE SE ENCONTRABA ESTACIONADO YA QUE EL CONDUCTOR INTENTA DETENER LA TRAYECTORIA DEL VEHICULO;157;OTRA HIPÓTESIS (CONDUCTOR)
202;2202;2/09/2024 13:00;HERIDOS;ATROPELLO;;-74,20124044;4,612359907;7;;3;POR ESTABLECER QUE ACTOR VIAL OMITE LA SEÑAL DE SEMAFORO EN ROJO;142;SEMAFORO EN ROJO
203;2203;2/09/2024 11:45;HERIDOS;CHOQUE;VEHICULO;-74,04330758;4,748535734;1;;1;VEHICULO N 1 HIPOTESIS 112 NO RESPECTA LA SEÑAL DE PARE SE CORRIGE EL GRADO 0 YA QUE POR ERROR HUMANO ERA 0 ACOMPAÑANTES;112;DESOBEDECER SEÑALES O NORMAS DE TRANSITO
204;2204;2/09/2024 11:23;HERIDOS;CHOQUE;VEHICULO;-74,11075977;4,75147603;11;;2;VH 1 ES UN BICICOCHE DE COLOR VERDE SE CORRIJE NOMBRE DEL CONDUCTOR DEL VH1 SIENDO EL CORRECTO EDWIN YOEL ROMERO RIVAS T I VENEZOLANA 33451225 NACIONALIDAD VENEZOLANA SE CORRIGE CEDULA PROPIETARIO VH1 1102892699 EL VEHICULO N 1 BICICOCHE;121;NO MANTENER DISTANCIA DE SEGURIDAD
205;2205;2/09/2024 8:21;HERIDOS;CHOQUE;VEHICULO;-74,10139642;4,623026212;16;;2;SE CORRIJE N DE CEDULA DEL CONDUCTOR DEL VEHICULO N 2 CASILLA 8  CC 1014257359 SE LE NOTIFICA ORDEN DE COMPARENDO N 42341290 POR LA INFRACCION D01 AL CONDUCTOR DEL VEHICULO N 1 DE IGUAL FORMA SE LE NOTIFICA ORDEN DE COMPARENDO N 42343433 POR LA INFRACCION B02 AL CONDUCTOR DEL VEHICULO N 2 ;139;IMPERICIA EN EL MANEJO
206;2206;2/09/2024 7:35;HERIDOS;CHOQUE;OBJETO;-74,07909764;4,696148246;11;;3;CORRIGE PUNTO 8 7 SIN FALLAS SE LE NOTIFICA 1 ORDEN DE COMPARENDO 42343013 POR LA INFRACCION D12;157;OTRA HIPÓTESIS (CONDUCTOR)
207;2207;2/09/2024 7:28;HERIDOS;CHOQUE;VEHICULO;-74,07212523;4,711072587;11;;2;CORRIJO CASILLA 86 RADIO DE ACCION NACIONAL CORRIJO;121;NO MANTENER DISTANCIA DE SEGURIDAD
208;2208;2/09/2024 6:35;HERIDOS;CHOQUE;VEHICULO;-74,19656704;4,633688225;7;;1;CORRIJO CASILLA 3 DIRECCION CALLE 61 A SUR CR 95 A CASILLA 4 FECHA Y HORA OCURRENCIA 09 02 24 HORA 06 35 FECHA Y HORA LEVANTAMIENTO 09 02 24 07 00 CASILLA 5 1 CHOQUE CON VEHICULO CASILLA 7 3 CALZADA VIA 2 DOS CASILLA 7 4 CARRILES VIA N 1 DOS ;112;DESOBEDECER SEÑALES O NORMAS DE TRANSITO
209;2209;2/09/2024 6:25;HERIDOS;VOLVAMIENTO;;-74,11726082;4,599957049;16;;1;SEGUN LO INFORMADO POR EL CIUDADANO EL CAE DE SU PROPIA ALTURA YA QUE A LO QUE FRENA SE RESBALA POR EL PISO HUMEDO;304;SUPERFICIE HUMEDA
210;2210;2/09/2024 6:09;HERIDOS;CHOQUE;VEHICULO;-74,19425597;4,605355731;7;;1;NO SE DIAGRAMA VEHICULO NÚMERO 2 YA QUE FUE MOVIDO DE LA POSICION FINAL ;112;DESOBEDECER SEÑALES O NORMAS DE TRANSITO
211;2211;2/09/2024 5:43;HERIDOS;ATROPELLO;;-74,14971215;4,546845992;19;;2;SE CORRIGE LA DIRECCION DEL ACCIDENTE SIENDO EN EL SITIO DEL ACCIDENTE SE ENCUENTRA LA CAMARA  DEL CAD 4334 LA DIRECCION DEL ACCIDENTE ES DIAGONAL 71 B SUR CON TRANSVERSAL 18J;157;OTRA HIPÓTESIS (CONDUCTOR)
212;2212;2/09/2024 4:35;HERIDOS;CHOQUE;VEHICULO;-74,11579696;4,612522751;16;;2;CORRIJO DIRECCION DE DOMICILIO CONDUCTOR VH1 CRA 67 SUR N 65A 63 Y TELEFONO 3123954591;142;SEMAFORO EN ROJO
213;2213;2/09/2024 2:50;HERIDOS;CHOQUE;OBJETO;-74,08418981;4,690144202;10;;1;OBJETO FIJO POSTE CODENSA N 09425572 1 UNIDAD LUMINOSA N 207049 2 UNIDAD LUMINOSA N 2007064 CAUSANDO DAÑOS MATERIALES SE CORRIGE CASILLA 3 DIRECCION CALLE 80 CON CARRERA 69Q;157;OTRA HIPÓTESIS (CONDUCTOR)
214;2214;2/09/2024 2:41;HERIDOS;CHOQUE;VEHICULO;-74,15183415;4,59582568;8;;3;SEGUN LO MANIFESTADO POR EL SEÑOR EDUAR PARRA TRIANA QUE SE PRESENTO COMO ACOMPAÑANTE DEL VEHICULO TIPO MOTOCICLETA PLACA FUT28F NOS INFORMA QUE EL CONDUCTOR DE LA MOTOCICLETA EN LA QUE EL SE TRANSPORTABA NO SE LOGRA UBICAR FECHA DE NACIMIENTO DEL SEÑOR WILSON IDARRAGA CARDONA CONDUCTOR VH2;157;OTRA HIPÓTESIS (CONDUCTOR)
215;2215;9/02/2024;MUERTOS;CHOQUE;OBJETO;-74,11577506;4,513813176;5;1;1;HIPOTESIS 114 POR INDICACIONES DE LABORATORIO DE CRIMINALISTICA AL PRACTICAR INSPECCION A CADAVER PERSIVE ALIENTO ALCOHOLICO LA ACOMPAÑANTE VH1 EN TRIAGE DE HOSPITAL MEISSEN MANIFIESTA EN ESTADO DE EMBRIAGUEZ;114;EMBRIAGUEZ APARENTE
216;2216;2/08/2024 22:37;HERIDOS;CHOQUE;VEHICULO;-74,11647154;4,747847435;11;;3;SE CORRIGE CASILLA 8 VH1 EL CONDUCTOR ES TRASLADADO A LA CLINICA ALCALA;122;GIRAR BRUSCAMENTE
217;2217;2/08/2024 22:25;HERIDOS;CHOQUE;VEHICULO;-74,19046698;4,624549489;7;;1;NO SE DIAGRAMA LOS VEHICULOS YA QUE FUERON MOVIDOS DE SU POSICION FINAL NO SE INICIA PROCESO POR FISCALIA YA QUE LA SEÑORA ANDREA MARCELA CARRILLO MARTINEZ CON  CC 52842104 MADRE DE LA MENOR NO DESEA QUERELLAR POR EL MOMENTO;157;OTRA HIPÓTESIS (CONDUCTOR)
218;2218;2/08/2024 21:15;HERIDOS;CHOQUE;VEHICULO;-74,15619907;4,578063094;19;;1;CONDUCTOR DE LA MOTOCICLETA MANIFIESTA QUE TUVO EL SINIESTRO VIAL CON UN TAXI EN EL CUAL SE DA A LA FUGA DE PLACAS WCL778 CONDUCTOR DE FORMA VOLUNTARIA Y LIBRE SIN COACION ALGUNA NO QUERER QUERELLAR EN EL MOMENTO CIRCULAR 001 DE 25 05 2017;157;OTRA HIPÓTESIS (CONDUCTOR)
219;2219;2/08/2024 18:35;HERIDOS;CHOQUE;VEHICULO;-74,11070076;4,616321816;16;;1;SE CORRIGE CASILLA 8 2 VH2 NUMERO DE LICENCIA 10029991374 ANEXO ORDEN COMPARENDO CONDUCTOR VH2 N 42341536 D01;139;IMPERICIA EN EL MANEJO
220;2220;2/08/2024 17:48;HERIDOS;CHOQUE;VEHICULO;-74,16265991;4,641106383;8;;1;SE DEJA CONSTANCIA QUE HAY UN VEHICULO N 3 DE PLACAS DDK 492 EL CUAL SE ENCONTRABA COMO OBJETO FIJO VEHICULO ESTACIONADO SIN CONDUCTOR SE REALIZA LA INMOVILIZACION YA QUE NO SE HACE NADIE RESPONSABLE DEJANDO A DISPOSICION DE FISCALIA PATIOS ALAMOS URI DE KENNEDY SE NOTIFICA ORDEN COMPARENDO VH 3 C02;157;OTRA HIPÓTESIS (CONDUCTOR)
221;2221;2/08/2024 17:07;HERIDOS;CHOQUE;VEHICULO;-74,14218283;4,606532334;8;;1;RESOLUCION 01670 Y 03922 DE 2016 CIRCULAR 001 DEL 25052017 LA CONDUCTORA Y LESIONADA DEL SINIESTRO VIAL MANIFIESTA LIBRE Y VOLUNTARIAMENTE NO INTERPONER QUERELLA EN EL MOMENTO REQUISITO EXIGIDO POR LA FISCALIA PARA RADICAR EL CASO EN LA URI;157;OTRA HIPÓTESIS (CONDUCTOR)
222;2222;2/08/2024 17:00;HERIDOS;CHOQUE;VEHICULO;-74,16364514;4,68996315;9;;1;SE CORRIJE HIPOTESIS SUMINISTRAN VIDEO DE LA EMPRESA DEL BUS DONDE SE OBSERVA EL BUS SE PASA EL SEMAFORO EN ROJO HIPOTESIS 142 Y LA MOTOCICLETA NO SE PERCATA DE LOS ACTORES VIALES EN VIA 157;157;OTRA HIPÓTESIS (CONDUCTOR)
223;2223;2/08/2024 15:50;HERIDOS;OTRO;;-74,06481353;4,67051709;12;;1;NO SE DIAGRAMA EL VEHICULO YA QUE FUE MOVIDO DE SU POSICION FINAL O DEL LUGAR DEL ACCIDENTE Y SE TRASLADA PARA EL PORTAL DE TRASMILENIO CALLE 80 Y ALLI ES DONDE HACEN EL REQUERIMIENTO DE LA UNIDAD DE TRANSITO SE CORRIGE CASILLA 3 1 LOCALIDA BARRIOS UNIDOS;506;OTRA HIPÓTESIS (PASAJERO O ACOMPAÑANTE)
224;2224;2/08/2024 15:26;HERIDOS;CHOQUE;VEHICULO;-74,06503079;4,726905458;11;;2;SE CORRIGE FECHA DE OCURRENCIA 08022024 A LAS  1526 Y LEVANTAMIENTO 08022024 A LAS 1554 VH3 SE ENCUENTRA ESTACIONADO AL COSTADO DERECHO DE LA VIA SE REALIZA ORDEN DE COMPARENDO AL CONDUCTOR VH2 YA QUE SE ENCUENTRA VENCIDA 20062023 SE CORRIGE HIPOTESIS 121 VH2;121;NO MANTENER DISTANCIA DE SEGURIDAD
225;2225;2/08/2024 14:11;HERIDOS;CHOQUE;VEHICULO;-74,14553998;4,596796919;8;;1;NO SE DIAGRAMA VEHICULOS YA QUE FUERON MOVIDOS DE LA POSICION FINAL PLACA VH1 SCX53F;122;GIRAR BRUSCAMENTE
226;2226;2/08/2024 14:10;HERIDOS;ATROPELLO;;-74,07364739;4,66192237;12;;1;LA SEÑORA EN CALIDAD DE PEATON LESIONADA MANIFIESTA LIBRE Y ESPONTANEAMENTE NO QUERER INTERPONER QUERELLA EN CONTRA DELV EHICULO SEGUN RESOLUCION 1670 Y 3922 DEL 2016 Y CIRCULAR N 001 DEL 25 05 2017;157;OTRA HIPÓTESIS (CONDUCTOR)
227;2227;2/08/2024 12:00;HERIDOS;CHOQUE;VEHICULO;-74,07243771;4,713191053;11;;3;EL VH2 NO CUENTA CON EXTRACTUAL Y CONTRACTUAL YA QUE ES VEHICULO PARTICULAR MODALIDAD DE TRANSPORTE VH1 INDIVIDUAL;119;FRENAR BRUSCAMENTE
228;2228;2/08/2024 11:30;HERIDOS;CHOQUE;VEHICULO;-74,1277918;4,612774062;16;;1;CORRIJO CATEGORIA LICENCIA DE CODUCCION VH3 C2;121;NO MANTENER DISTANCIA DE SEGURIDAD
229;2229;2/08/2024 10:00;DANOS;CHOQUE;VEHICULO;-74,16264845;4,639888396;8;;;COMPARENDO N 42342241 PARA CONDUCTOR VEHICULO 1;115;EMBRIAGUEZ O SUSTANCIAS ALUCINOGENAS
230;2230;2/08/2024 9:00;HERIDOS;CHOQUE;VEHICULO;-74,03323467;4,693676976;1;;1;VH 2 PATINETA ELECTRICA RESOLUCION 01670 Y 03922 DE 2016 CIRCULAR N 001 DEL 25052017 EL CIUDADANO DE CEDULA EXTRANJERA 1056797 EL SEÑOR TOMAS MACHI NO DESEA INTERPONER QUERELLA ;102;ADELANTAR POR LA DERECHA
231;2231;2/08/2024 8:45;HERIDOS;CHOQUE;VEHICULO;-74,12260038;4,704052867;10;;1;SE CORRIJE CASILLA 7 4 2 CARRILES;123;NO RESPETAR PRELACION DE INTERSECCIONES O GIROS
232;2232;2/08/2024 8:37;HERIDOS;CHOQUE;VEHICULO;-74,0721481;4,668933913;12;;1;HIPOTESIS 103 PARA EL VEHICULO N 1 SE DEJA CONSTANCIA QUE SE LE EXPLICA A LA LESIONADA QUE PUEDE INTERPONER EN EL TERMINO DE 6 MESES LA QUERELLA DE ACUERDO A LAS RESOLUCIONES 01670 Y 03922 DE 2016 DEL FISCAL Y LA CIRCULAR 001 DEL 25 05 2017;103;ADELANTAR CERRANDO
233;2233;2/08/2024 8:28;HERIDOS;CHOQUE;VEHICULO;-74,07075194;4,664381834;12;;1;FAMILIARES Y LESIONADO MANIFIESTAN EN FORMA VOLUNTARIA NO INTERPONER QUERELLA ANTE LA FISCALIA POR EL MOMENTO CIRCULAR NUMERO 001 DEL 25 05 2017;103;ADELANTAR CERRANDO
234;2234;2/08/2024 8:18;HERIDOS;ATROPELLO;;-74,04364406;4,746549693;1;;1;NO SE RECEPCIONA QUERELLA YA QUE EL PEATON SE ENCUENTRA EN CUIDADOS INTENSIVOS Y NO HAY FAMILIAR  DE LA PERSONA SE CORRIJE PUNTO DE IMPACTO SIENDO EL CORRECTO LATERAL ;157;OTRA HIPÓTESIS (CONDUCTOR)
235;2235;2/08/2024 8:09;MUERTOS;ATROPELLO;;-74,09445462;4,57574483;4;1;1;SE OBSERVA VIDEO INTERNO DEL BUS DE PLACAS KYQ302 EN DONDE AL INICIAR SU MARCHA Y REALIZAR EL GIRO A LA IZQUIERDA AUTORIZADO SE ENCUENTRA EL SEMAFORO HABILITADO EN VERDE;157;OTRA HIPÓTESIS (CONDUCTOR)
236;2236;2/08/2024 7:27;HERIDOS;ATROPELLO;;-74,13133232;4,614060025;8;;2; REALIZA ORDEN DE COMPARENDO 42323967 INFRACCION B02 PARA CONDUCTOR VEHICULO N 1 SE SOLICITA CAMARA DE VIDEO DIRECCION CALLE 22 SUR N 69 22 DESTINO SOLICITUD ESCUELA DE ENSEÑANZA;157;OTRA HIPÓTESIS (CONDUCTOR)
237;2237;2/08/2024 7:20;HERIDOS;ATROPELLO;;-74,09589258;4,544459628;4;;2;NO SE DIAGRAMA EL VEHICULO N 1 YA QUE FUE MOVIDO DE SU POSICION FINAL;134;REVERSO IMPRUDENTE
238;2238;2/08/2024 5:30;HERIDOS;ATROPELLO;;-74,1145458;4,505806557;5;;1;SE DEJA CONSTANCIA NO ES POSIBLE ESTABLECER POSIBLE RUTA DEL APARENTE VEHICULO EN FUGA Y DEL PEATON YA QUE NO SE LOGRA OBTENER DICHA INFORMACION VEHICULO EN FUGA PEATON EN ESTADO DELICADO;157;OTRA HIPÓTESIS (CONDUCTOR)
239;2239;8/02/2024;HERIDOS;CHOQUE;VEHICULO;-74,16221527;4,599711117;7;;2;POR ESTABLECER DIRECCION DE DOMICILIO TELEFONO Y LUGAR DE RESIDENCIA CONDUCTOR VH2;157;OTRA HIPÓTESIS (CONDUCTOR)
240;2240;8/02/2024;HERIDOS;CHOQUE;VEHICULO;-74,18164922;4,610044392;7;;2;HIPOTESIS 142 POR ESTABLECER QUIEN  OMITE LA SEÑAL DE SEMAFORO EN ROJO SE NOTIFICA ORDEN DE COMPARENDO AL CONDUCTOR DEL VEHICULO N 1 INFRACCION C35;142;SEMAFORO EN ROJO
241;2241;8/02/2024;HERIDOS;CHOQUE;VEHICULO;-74,14362756;4,561661187;19;;1;SE DEJA CONSTANCIA VEHICULO N 2 SE DA A LA FUGA VEHICULO AUTOMOVIL TIPO TAXI MANIFESTADO POR LA CIUDADANIA;157;OTRA HIPÓTESIS (CONDUCTOR)
242;2242;2/07/2024 22:55;HERIDOS;CHOQUE;VEHICULO;-74,08355681;4,591193071;3;;2; CORRIJO NUMERO DE CEDULA CONDUCTOR N 2  1033729686 HIPOTESIS 157 PARA EL CONDUCTOR N 1 POR ESTABLECER SI OMITE LA LUZ ROJA DEL SEMAFORO Y PARA EL CONDUCTOR N 2 LA 127 TRANSITAR EN CONTRAVIA Y LA 157 POR ESTABLECER SI OMITE LUZ ROJA DEL SEMAFORO PARA LAS 2 CONDUCTORES LA 157;157;OTRA HIPÓTESIS (CONDUCTOR)
243;2243;2/07/2024 22:10;HERIDOS;CHOQUE;VEHICULO;-74,11325185;4,536872455;5;;1;CORRECCION V1 PROPIETARIO BUITRAGO DIAZ JULIO CESAR CC 79423331 SE DEJA CONSTANCIA QUE EL V2 BICICLETA  NO SE ENCONTRO EN EL LUGAR DEL ACCIDENTE DESCONOCIENDO SU PARADERO;157;OTRA HIPÓTESIS (CONDUCTOR)
244;2244;2/07/2024 20:55;HERIDOS;CHOQUE;OBJETO;-74,15041355;4,627865929;8;;2;ANEXO ORDEN DE COMPARENDO N 42341427 INFRACCION C02 NOTA DE DEJA CONSTANCIA QUE EL SEGUNDO CONDUCTOR NO SE TRASLADA A MEDICINA LEGAL YA QUE ESTA EL VEHICULO EN CALIDAD DE OBJETO FIJO;141;VEHICULO MAL ESTACIONADO
245;2245;2/07/2024 20:30;HERIDOS;CHOQUE;VEHICULO;-74,088693;4,570090648;4;;1;NUMERO DE LICENCIA DE TRANSITO VEHICULO N 1   04110017315044;121;NO MANTENER DISTANCIA DE SEGURIDAD
246;2246;2/07/2024 20:15;HERIDOS;CHOQUE;VEHICULO;-74,11164892;4,750597952;11;;3;NO SE DIAGRAMA LOS VEHICULOS 2 Y 3 YA QUE FUERON MOVIDOS DE SU POSICION FINAL;112;DESOBEDECER SEÑALES O NORMAS DE TRANSITO
247;2247;2/07/2024 19:34;HERIDOS;CAIDA;;-74,06540496;4,638205477;2;;1;NOTA ACLARO QUE ES PASAJERO EN LA CASILLA 9 1;119;FRENAR BRUSCAMENTE
248;2248;2/07/2024 19:00;HERIDOS;CHOQUE;VEHICULO;-74,11702541;4,501517524;5;;3;CORRIJO PLACA VH1 ILV91F NO SE DIAGRAMA EL VEHICULO N 2 YA QUE FUE MOVIDO DE SU POSICION FINAL ENTREGO LICENCIA DE TRANSITO DE LA MOTOCICLETA ILV91F A LA MOVIL AL MANDO DEL SI SURAN;157;OTRA HIPÓTESIS (CONDUCTOR)
249;2249;2/07/2024 18:47;HERIDOS;CHOQUE;VEHICULO;-74,11717159;4,567039339;18;;1;NO SE DIAGRAMAN VEHICULOS YA QUE FUERON MOVIDOS DE SU POSICION FINAL CORRECION VEHICULO 1 SE DEJA CONSTANCIA DE LA CORECCION QUE EL SEÑOR EDGAR E GARZON CC 79980754 SE HACE RESPONSABLE DEL VEHICULO YA QUE LO ESTABA EMPUJANDO MAS NO CONDUCIENDO;157;OTRA HIPÓTESIS (CONDUCTOR)
250;2250;2/07/2024 18:03;HERIDOS;CHOQUE;VEHICULO;-74,10027234;4,748827091;11;;2;CORRIJO DIRECCION CALLE 145 CON CARRERA 111;93;TRANSITAR DISTANTE DE LA ACERA U ORILLA DE LA CALZADA
251;2251;2/07/2024 18:02;HERIDOS;CHOQUE;VEHICULO;-74,19418867;4,640483352;7;;1;SE CORRIGE NUMERO DOCUMENTO VH2 SEÑOR LUIS JOSE FALLA FERRO MICHINEL CE 25447170 NO SE DEJA EL CASO A DISPOSICION DE FISCALIA YA QUE LLEGAN A UN ACUERDO ENTRE LAS PARTES POR  250000 EN PRESENCIA DE LA SEÑORA MADRE DAMARIL MICHINEL CE 10530090 CORRIJO INTERNO 0270 ;112;DESOBEDECER SEÑALES O NORMAS DE TRANSITO
252;2252;2/07/2024 17:40;HERIDOS;CHOQUE;VEHICULO;-74,12565542;4,727629864;10;;4;NO SE DIGRAMAN LOS VEHICULOS YA QUE FUERON MOVIDOS DE LA POSICION FINAL;103;ADELANTAR CERRANDO
253;2253;2/07/2024 17:25;HERIDOS;ATROPELLO;;-74,14705408;4,508258483;19;;2;SE NOTIFICA ORDEN DE COMPARENDO C35 39537216 Y D02 39538188;301;AUSENCIA TOTAL O PARCIAL DE SEÑALES
254;2254;2/07/2024 17:09;HERIDOS;CHOQUE;VEHICULO;-74,06360922;4,759061938;11;;1;SE CORRIGE CASILLA 7 CARACTERISTICAS DE LA VIA LINEA DEL CARRIL ES BLANCA Y CONTINUA;121;NO MANTENER DISTANCIA DE SEGURIDAD
255;2255;2/07/2024 17:05;DANOS;INCENDIO;;-74,08237261;4,736945497;11;;;CORRIJO LA HIPOTESIS ES PARA EL VEHICULO 211;211;FALLAS EN EL SISTEMA ELECTRICO
256;2256;2/07/2024 16:30;HERIDOS;CAIDA;;-74,07610563;4,608694257;3;;3;MANIFIESTA LIBRE Y EXPONTANEAMENTE LA LESIONADA QUE NO DESEA FIRMAR QUERELLA Y NO SE RADICA EL CASO ANTE FISCALIA;506;OTRA HIPÓTESIS (PASAJERO O ACOMPAÑANTE)
257;2257;2/07/2024 14:18;HERIDOS;CHOQUE;VEHICULO;-74,19057561;4,603097186;7;;3;CORRIJO DIRECCION EXACTA DEL EVENTO DIAGONAL 69B SUR TRANSVERSAL 78L ES DE ANOTAR QUE EN EL PUNTO SE ENCUENTRA UNA CAMARA DE CAD LA CUAL LA CENTRAL ME INFORMA QUE NO SIRVE;123;NO RESPETAR PRELACION DE INTERSECCIONES O GIROS
258;2258;2/07/2024 13:00;HERIDOS;OTRO;;-74,07296342;4,601133455;3;;1;EL PASAJERO LESIONADO NO INTERPONE QUERELLA SE LE EXPLICA EL PROCEDIMIENTO A SEGUIR CIRCULAR N 001 DEL 25 05 2017 EL BUS NO SE INMOVILIZA;506;OTRA HIPÓTESIS (PASAJERO O ACOMPAÑANTE)
259;2259;2/07/2024 9:20;HERIDOS;CHOQUE;VEHICULO;-74,13858367;4,590590173;6;;1;SE DEJA CONSTANCIA CON VIDEO QUE LA VICTIMA NO DESEA QUERELLAR;122;GIRAR BRUSCAMENTE
260;2260;2/07/2024 8:55;HERIDOS;ATROPELLO;;-74,18276024;4,633937312;7;;1;AL CIUDADANO QUIEN CONDUCIA LA MOTO SE LE REALIZARON 3 ORDENES DE COMPARENDO ASI D01 NO HA OBTENIDO LICENCIA D07 Y C31;97;TRANSITAR POR VIAS PROHIBIDAS
261;2261;2/07/2024 8:30;HERIDOS;CHOQUE;VEHICULO;-74,10001997;4,680614809;10;;1;CORRIJO PLACA VH1 SIENDO LAQ54G SE REALIZA COMPARENDO N 42339768 POR LA INFRACCION D02 AL CONDUCTOR DEL VH1;121;NO MANTENER DISTANCIA DE SEGURIDAD
262;2262;2/07/2024 7:50;HERIDOS;CHOQUE;VEHICULO;-74,09549264;4,609549788;14;;2;CORRIJO CASILLA 8 2 VEHICULO SIENDO LOS DATOS CORRECTOS LOS SIGUIENTES PLACA UCF21G MARCA TVS LINEA RAIDER 125 COLOR ROJO RACING MODELO 2024 LICENCIA DE TRANSITO 10029866978;112;DESOBEDECER SEÑALES O NORMAS DE TRANSITO
263;2263;2/07/2024 7:49;HERIDOS;CHOQUE;VEHICULO;-74,07485035;4,665752035;12;;7;VH 2 EN FUGA SE CORRIJE CASILLA N 5 CLASE DE ACCIDENTE ES CHOQUE CON VEHICULO TIPO BICICLETA EN FUGA ;94;CIRCULAR POR CALZADAS O CARRILES DESTINADOS A BUSES Y BUSETAS
264;2264;2/07/2024 7:20;MUERTOS;CHOQUE;VEHICULO;-74,02334524;4,755858386;1;2;1;SE CORRIGE PLACA DE LA MOTO QED25G SE CORRIGE DIRECCION CALLE 179 CRA 6 SE CORRIGE HIPOTESIS 112 SE OBSERVA LINEA CENTRAL AMARILLA CONTUNUA;112;DESOBEDECER SEÑALES O NORMAS DE TRANSITO
